"Currency Manager","Currency Manager"
"Remove","Удалить"
"* Select currency","* Выберите валюту"
"Currency Options","Параметры валюты"
"Enabled for Frontend","Включено для пользователей"
"Enabled for Admin","Включено для администраторов"
"Precision","Точность"
"Precision:","Точность:"
"Number of decimal (e.g. 0, 1, 2). Default: 0","Кол-во знаков после запятой (например: 0, 1, 2). По умолчанию: 0"
"Symbol position","Позиция символа"
"Currency symbol use","Обозначение валюты"
"e.g. Symbol = Ls, Short name = LVL, Name = Latvian Lats","Например: Символ = руб., Код = RUB, Наименование = Российский рубль"
"Default","По умолчанию"
"Right","После цены"
"Left","Перед ценой"
"Do not use","не использовать"
"Use symbol","символ"
"Use short name","код"
"Use name","наименование"
"Yes","Да"
"No","Нет"
"Frontend specific options","Параметры для пользовательской части"
"Admin specific options","Параметры для панели администрирования"
"Currency options (global)","Параметры валюты (глобальные)"
"Currency options (for specific currency)","Параметры валюты (для конкретной валюты)"
"Exclude for checkout","Исключение для заказа"
"If Yes - options [Precision] and [Replace Zero Price] will not affect display of prices in checkout.","Если Да - параметры [Точность] и [Заменить нулевые цены] не будут влиять на отображение цены в заказе."
"Cut Zero Decimals","Отбрасывать нули после запятой"
"Cut Zero Decimals:","Отбрасывать нули после запятой:"
"If Yes price will be 99 instead of 99.00, but 99.99 if price 99.99","Если Да цена будет 99 вместо 99.00, но 99.99 при цене 99.99"
"Currency specific options","Параметры для конкретной валюты"
"Select currency:","Выберите валюту:"
"Symbol position:","Позиция символа:"
"Currency symbol use:","Обозначение валюты:"
"Replace symbol to:","Заменить символ на:"
"Replace Zero Price to:","Заменить нулевые цены на:"
"Add currency specific options","Добавить параметры, специфичные для валюты"
"Currency Manager information","Информация о модуле Currency Manager"
"Support by support@etwebsolutions.com <br /> You can hire our team for any customizations. Contact us at sales@etwebsolutions.com","Поддержка - support@etwebsolutions.com <br /> Вы можете нанять нашу команду для любых работ по Magento. Пишите на sales@etwebsolutions.com"
"Leave empty for disable replace","Оставьте пустым, если не хотите делать замену"
"Leave empty for global value use","Оставьте пустым для использования глобального значения"
"Used only if Cut Zero Decimals = Yes, default "",-""","Используется только при значении Отбрасывать нули после запятой = Да. По умолчанию: "",-"""
"Enable for Inputs","Применять для полей ввода цены"
"Suffix:","Заменить отброшенные нули на значение:"
"Replaces Cuted Zero Decimals","Заменить отброшенные нули на значение"
"Click here to configure currency additional display options","Перейти к дополнительным настройкам отображения валюты"

"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"Short Description:","Краткое описание:"
"Documentation:","Документация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can see description of extension features and answers to the frequently asked questions on <a href=""%s"" target=""_balnk"">our website</a>.","Описание позможностей модуля и ответы на часто задаваемые вопросы смотрите на <a href=""%s"" target=""_balnk"">нашем сайте</a>."
"You can hire our team to customize the extension. E-mail us on sales@etwebsolutions.com.<br><br>You can see a list of provided services on <a href=""%s"" target=""_blank"">our website</a>.","Вы можете нанять нашу команду для любых работ по модификации модуля. Пишите на адрес sales@etwebsolutions.com.<br><br>Со списком предоставляемых нами услуг вы можете ознакомиться <a href=""%s"" target=""_blank"">на нашем сайте</a>."

"Extension support is available through <a href=""%s"" target=""_blank"">issue tracking system</a>.<br>You can see information freely, but you will have to sign up to open a ticket.<br><br>Please, report all bugs and feature requests that are connected to this extension.<br><br>If by some reason you can not submit a question, bug report or feature request to our ticket system, you can write us an email - support@etwebsolutions.com.","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br>Для создания задачи будет необходимо зарегистрироваться. Для просмотра информации регистрация не требуется.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
